datetime,tweets,tweets_pa,tweets_co,tweets_cu,users
2022-07-29T23:12:43.496623049+09:00,52191,73730,89962,56792,18152
2022-07-30T00:14:54.816647772+09:00,53062,74647,91068,57509,18262
2022-07-30T05:12:43.775821104+09:00,53901,75451,92142,58203,18371
2022-07-30T10:11:06.395278216+09:00,45700,76064,93036,58698,16045
2022-07-30T12:45:46.693418348+09:00,45919,76433,93452,59006,16095
2022-07-30T13:34:44.221294574+09:00,45978,76517,93576,59093,16107
2022-07-30T13:55:50.065354545+09:00,45978,76517,93576,59093,16107
2022-07-30T14:34:01.768153342+09:00,45978,76517,93576,59093,16107
2022-07-30T15:16:48.335203472+09:00,46107,76749,93820,59261,16144
2022-07-30T17:11:50.111385940+09:00,46482,77361,94550,59785,16216
2022-07-30T21:14:54.230892067+09:00,47285,78674,96170,60845,16361
2022-07-30T21:52:12.083087556+09:00,47285,78674,96170,60845,16361
2022-07-31T01:12:27.792574809+09:00,48693,81017,98961,62729,16572
2022-07-31T05:09:14.282573203+09:00,48906,81361,99391,63017,16613
2022-07-31T09:47:58.839740157+09:00,49299,81982,100204,63543,16656
2022-07-31T13:17:31.974027824+09:00,49708,82647,101001,64118,16730
2022-07-31T13:26:29.778097014+09:00,49723,82670,101034,64137,16736
2022-07-31T15:03:18.667469078+09:00,49723,83262,101090,64240,16736
2022-07-31T17:11:22.735708990+09:00,50031,83773,101695,64664,16800
2022-07-31T17:19:36.152449823+09:00,50031,83773,102946,63413,16800
2022-07-31T21:16:57.287779503+09:00,50636,84733,104196,64228,16873
2022-08-01T01:12:02.419558301+09:00,52008,87068,106876,66073,17080
2022-08-01T05:10:29.334453192+09:00,52210,87413,107260,66354,17108
2022-08-01T09:59:12.211840463+09:00,52606,88066,108042,66899,17148
2022-08-01T14:08:18.080377330+09:00,52893,88535,108607,67300,17181
2022-08-01T17:13:00.390925946+09:00,53063,88823,108914,67554,17199
2022-08-01T21:19:13.901807238+09:00,53626,89757,110049,68300,17252
2022-08-02T01:13:58.400682235+09:00,54932,92036,112698,69902,17366
2022-08-02T05:12:35.144709063+09:00,55110,92319,113046,70161,17384
2022-08-02T09:54:11.983643777+09:00,55476,92942,113760,70653,17426
2022-08-02T14:02:49.410140324+09:00,55716,93311,114262,70982,17456
2022-08-02T17:13:21.197171395+09:00,55860,93553,114539,71183,17472
2022-08-02T21:22:54.784767174+09:00,56421,94459,115707,71914,17522
2022-08-03T01:13:37.909574205+09:00,57584,96381,118013,73501,17610
2022-08-03T05:13:24.272214263+09:00,57767,96692,118379,73739,17636
2022-08-03T09:54:21.065411869+09:00,58118,97268,119069,74228,17669
2022-08-03T13:56:04.712500198+09:00,58398,97725,119618,74622,17703
2022-08-03T17:13:14.758972770+09:00,58698,98267,120195,75002,17799
2022-08-03T21:18:20.461217861+09:00,59342,99410,121425,75845,17930
2022-08-04T01:13:19.007004409+09:00,60674,101687,124040,77613,18124
