datetime,tweets,tweets_pa,tweets_co,tweets_cu,users
2023-01-23T17:41:51.508480033+09:00,3875,3427,8732,7178,2778
2023-01-23T17:53:29.181957071+09:00,4717,4257,10603,8680,3504
2023-01-23T19:24:16.924752387+09:00,6052,5585,13492,11126,4639
2023-01-23T21:42:53.092382376+09:00,8412,7925,18644,15413,6562
2023-01-23T23:22:39.371850552+09:00,10208,9713,22606,18618,7953
2023-01-24T01:31:30.049674061+09:00,11863,11313,26333,21552,9059
2023-01-24T03:24:22.762533843+09:00,12125,11578,26902,22026,9232
2023-01-24T05:21:25.485835222+09:00,12228,11676,27146,22197,9299
2023-01-24T07:19:47.019869448+09:00,12501,11964,27773,22644,9424
2023-01-24T10:43:30.068331182+09:00,13092,12589,29048,23691,9682
2023-01-24T11:41:45.750864540+09:00,13225,12723,29344,23926,9766
2023-01-24T13:25:01.398763913+09:00,13631,13117,30252,24649,9930
2023-01-24T15:24:50.946489306+09:00,13898,13380,30830,25140,10035
2023-01-24T17:26:03.421896999+09:00,14203,13704,31518,25648,10136
2023-01-24T19:21:54.170710191+09:00,14604,14085,32411,26375,10301
2023-01-24T21:41:38.265608249+09:00,15516,14987,34435,27995,10605
2023-01-24T23:20:42.603977643+09:00,16359,15809,36337,29482,10903
2023-01-25T01:30:20.614866521+09:00,17402,16829,38672,31329,11253
2023-01-25T03:24:52.582569042+09:00,17637,17082,39190,31733,11317
2023-01-25T05:21:04.769053534+09:00,17731,17174,39402,31898,11346
2023-01-25T07:19:23.657955864+09:00,17894,17346,39751,32190,11384
2023-01-25T10:40:50.488744089+09:00,18340,17803,40758,32955,11504
2023-01-25T11:42:20.349797225+09:00,18453,17939,40975,33166,11535
2023-01-25T13:24:46.716635123+09:00,18733,18222,41609,33646,11610
2023-01-25T15:25:11.648240754+09:00,18926,18416,42033,33992,11674
2023-01-25T17:25:27.842813184+09:00,19101,18581,42449,34282,11733
2023-01-25T19:21:57.168581883+09:00,19375,18822,43059,34798,11790
2023-01-25T21:41:09.295826171+09:00,20065,19481,44619,36018,11918
2023-01-25T23:20:04.536057363+09:00,20818,20191,46278,37401,12094
2023-01-26T01:29:41.408411177+09:00,21653,20960,48209,38866,12293
2023-01-26T03:24:01.337385374+09:00,21780,21082,48487,39101,12328
2023-01-26T05:20:47.623003087+09:00,21853,21183,48645,39205,12341
2023-01-26T07:20:08.703791699+09:00,22028,21369,49074,39461,12376
2023-01-26T10:43:04.142724705+09:00,22497,21854,50106,40282,12464
2023-01-26T11:43:41.437557869+09:00,22577,21954,50264,40424,12481
2023-01-26T13:25:00.883820529+09:00,22831,22255,50794,40860,12539
2023-01-26T15:25:06.894140719+09:00,22980,22386,51132,41133,12578
2023-01-26T17:25:36.059042529+09:00,23133,22568,51423,41422,12612
2023-01-26T19:22:03.861339125+09:00,23336,22779,51851,41796,12653
2023-01-26T21:42:02.467372678+09:00,23915,23373,53183,42762,12765
2023-01-26T23:19:14.723825401+09:00,24509,23919,54488,43871,12864
2023-01-27T01:31:49.766206466+09:00,25335,24686,56390,45322,13027
2023-01-27T03:24:44.665536902+09:00,25479,24827,56714,45577,13064
2023-01-27T05:20:21.726052714+09:00,25543,24889,56871,45675,13075
2023-01-27T07:19:23.987578901+09:00,25679,25045,57172,45895,13096
2023-01-27T10:45:02.410641020+09:00,26021,25353,57981,46486,13152
2023-01-27T11:47:38.639023791+09:00,26100,25428,58161,46626,13170
2023-01-27T13:24:57.133668829+09:00,26376,25710,58755,47130,13256
2023-01-27T15:25:54.135212451+09:00,26533,25876,59092,47412,13303
2023-01-27T17:25:41.912982725+09:00,26676,26019,59398,47677,13349
2023-01-27T19:22:41.854793838+09:00,26832,26158,59755,47954,13385
2023-01-27T21:38:26.889851332+09:00,27285,26565,60798,48763,13467
2023-01-27T23:19:59.780950501+09:00,27823,27115,62014,49681,13563
2023-01-28T01:28:59.053724282+09:00,28528,27778,63558,50992,13686
2023-01-28T03:24:25.550850012+09:00,28657,27916,63825,51232,13721
2023-01-28T05:21:09.270459989+09:00,28709,27968,63946,51318,13734
2023-01-28T07:19:25.156274885+09:00,28804,28067,64161,51479,13758
2023-01-28T10:44:19.610074864+09:00,29234,28516,65115,52218,13842
2023-01-28T11:45:21.028347138+09:00,29349,28634,65371,52418,13867
2023-01-28T13:24:21.437431070+09:00,29498,28790,65701,52677,13906
2023-01-28T15:24:03.983130188+09:00,29681,28972,66107,53003,13949
2023-01-28T17:24:35.356924908+09:00,29866,29129,66538,53339,13990
2023-01-28T19:20:53.518939460+09:00,30108,29406,67039,53765,14035
2023-01-28T21:36:19.649306188+09:00,30713,30005,68411,54812,14156
2023-01-28T23:18:09.064827564+09:00,31144,30403,69378,55592,14229
2023-01-29T01:26:42.882688298+09:00,31720,30967,70658,56624,14335
2023-01-29T03:23:06.842230771+09:00,31840,31068,70951,56827,14368
2023-01-29T05:19:31.114334933+09:00,31889,31111,71071,56909,14375
2023-01-29T07:18:22.528196778+09:00,31958,31180,71247,57009,14390
2023-01-29T10:48:30.183426861+09:00,32285,31503,71985,57577,14461
2023-01-29T11:49:48.506280082+09:00,32399,31609,72234,57791,14489
2023-01-29T13:24:27.360016431+09:00,32576,31784,72625,58110,14521
2023-01-29T15:24:17.166918596+09:00,32771,31975,73054,58461,14562
2023-01-29T17:24:20.906014341+09:00,32953,32140,73505,58755,14607
2023-01-29T19:20:07.572749720+09:00,33141,32324,73945,59068,14652
2023-01-29T21:36:32.231860434+09:00,33592,32739,74988,59860,14731
2023-01-29T23:18:47.127517317+09:00,34137,33239,76281,60787,14830
2023-01-30T01:26:49.562455778+09:00,34729,33788,77642,61829,14935
2023-01-30T03:22:57.248253651+09:00,34836,33925,77887,61982,14955
2023-01-30T05:19:41.748513561+09:00,34873,33952,77981,62046,14959
2023-01-30T07:18:49.098896474+09:00,34955,34024,78175,62189,14966
2023-01-30T10:38:25.603268884+09:00,35173,34237,78664,62575,14996
2023-01-30T11:41:29.296350612+09:00,35200,34271,78717,62623,15003
2023-01-30T13:24:22.955764039+09:00,35321,34379,79002,62835,15017
2023-01-30T15:26:17.049045806+09:00,35414,34474,79209,62996,15039
2023-01-30T17:26:51.009911972+09:00,35586,34644,79574,63320,15062
2023-01-30T19:23:37.266327578+09:00,35849,34885,80228,63739,15098
2023-01-30T21:42:01.652286456+09:00,36395,35416,81536,64617,15159
2023-01-30T23:19:48.075757017+09:00,36956,35960,82766,65639,15223
2023-01-31T01:29:12.948240387+09:00,37708,36672,84540,66902,15321
2023-01-31T03:25:23.647863689+09:00,37818,36798,84779,67087,15339
2023-01-31T05:21:24.601464270+09:00,37873,36860,84895,67184,15346
2023-01-31T07:19:30.900740587+09:00,38008,36978,85208,67424,15361
2023-01-31T10:47:21.945933569+09:00,38267,37238,85809,67855,15390
2023-01-31T11:49:39.707985045+09:00,38319,37288,85929,67943,15399
2023-01-31T13:24:38.928810537+09:00,38443,37394,86216,68170,15418
