datetime,tweets,tweets_pa,tweets_co,tweets_cu,users
2023-03-27T16:09:11.926368980+09:00,1933,3100,3430,3029,1397
2023-03-27T16:21:41.585052965+09:00,2909,4650,5127,4603,2210
2023-03-27T17:25:47.928654801+09:00,3687,5875,6624,5767,2883
2023-03-27T19:23:58.251232836+09:00,5293,8465,9531,8296,4228
2023-03-27T22:49:23.199801748+09:00,8769,14132,15767,13764,7036
2023-03-27T23:29:37.422695381+09:00,9652,15598,17350,15126,7715
2023-03-28T01:25:21.757182094+09:00,10936,17709,19620,17162,8611
2023-03-28T03:25:41.548067014+09:00,11221,18180,20140,17595,8780
2023-03-28T05:21:47.285098644+09:00,11315,18313,20320,17752,8838
2023-03-28T07:18:07.664240247+09:00,11579,18814,20731,18159,8944
2023-03-28T10:29:14.113401188+09:00,12180,19724,21817,19167,9200
2023-03-28T11:37:27.244433578+09:00,12310,19942,22049,19367,9272
2023-03-28T13:23:15.553410255+09:00,12713,20593,22779,20000,9431
2023-03-28T15:24:31.215110009+09:00,12950,20973,23195,20389,9538
2023-03-28T17:25:15.752939514+09:00,13156,21303,23578,20705,9615
2023-03-28T19:21:37.800038532+09:00,13515,21870,24226,21283,9733
2023-03-28T21:39:29.877852991+09:00,14384,23227,25796,22700,10014
2023-03-28T23:25:07.397596065+09:00,15357,24832,27474,24279,10328
2023-03-29T03:25:01.305179495+09:00,16447,26567,29476,25990,10648
2023-03-29T05:19:58.728617159+09:00,16508,26672,29575,26091,10667
2023-03-29T07:17:45.804662455+09:00,16718,27029,29931,26426,10712
2023-03-29T10:41:29.686635833+09:00,17164,27760,30703,27152,10813
2023-03-29T11:44:53.473023317+09:00,17265,27917,30903,27300,10852
2023-03-29T13:23:19.090669709+09:00,17497,28276,31322,27681,10903
