datetime,tweets,tweets_pa,tweets_co,tweets_cu,users
2023-05-15T17:31:19.960895463+09:00,3607,1536,1359,712,2833
2023-05-15T22:53:12.168821853+09:00,8300,3403,3198,1699,6364
2023-05-15T23:22:45.119054926+09:00,8668,3539,3348,1781,6649
2023-05-16T07:15:25.136507298+09:00,10576,4295,4141,2140,7793
2023-05-16T18:03:18.640013763+09:00,12229,4964,4807,2458,8507
2023-05-16T23:15:47.771435332+09:00,13686,5517,5392,2777,8956
2023-05-17T05:17:14.053247281+09:00,14723,5910,5819,2994,9279
2023-05-17T07:15:16.843393151+09:00,14943,6011,5901,3031,9321
2023-05-17T10:22:48.216535611+09:00,15342,6168,6074,3100,9408
2023-05-17T11:34:14.994099258+09:00,15438,6209,6104,3125,9433
2023-05-17T13:19:37.963343327+09:00,15687,6295,6218,3174,9490
2023-05-17T15:20:29.815707998+09:00,15859,6362,6282,3215,9545
2023-05-17T19:17:39.151460861+09:00,16153,6495,6387,3271,9624
2023-05-17T21:31:59.706867059+09:00,16655,6667,6614,3374,9738
2023-05-17T23:14:49.732544313+09:00,17184,6860,6847,3477,9857
2023-05-18T01:21:29.422138290+09:00,17859,7147,7128,3584,10013
2023-05-18T03:19:34.204347003+09:00,17977,7200,7170,3607,10045
2023-05-18T05:17:01.399179202+09:00,18028,7224,7187,3617,10056
2023-05-18T07:15:23.402588637+09:00,18198,7296,7259,3643,10078
2023-05-18T11:33:31.501735089+09:00,18682,7490,7457,3735,10167
2023-05-18T13:19:32.417763085+09:00,18883,7577,7539,3767,10210
2023-05-18T17:20:03.430781364+09:00,19118,7667,7638,3813,10262
2023-05-18T19:16:58.634293312+09:00,19314,7738,7721,3855,10293
2023-05-18T21:32:36.081453328+09:00,19850,7960,7929,3961,10388
2023-05-18T23:14:57.441560678+09:00,20374,8162,8152,4060,10508
2023-05-19T01:21:06.292081039+09:00,20992,8402,8401,4189,10617
2023-05-19T03:20:01.777768884+09:00,21121,8453,8452,4216,10648
2023-05-19T10:21:45.866031417+09:00,21730,8697,8695,4338,10746
2023-05-19T11:33:59.842083898+09:00,21787,8717,8716,4354,10757
2023-05-19T13:19:31.223417222+09:00,22034,8823,8812,4399,10828
2023-05-19T15:20:57.013590281+09:00,22163,8871,8864,4428,10866
2023-05-19T17:20:14.942989551+09:00,22291,8913,8919,4459,10905
2023-05-19T21:30:40.496720269+09:00,22933,9161,9182,4590,11010
2023-05-19T23:14:44.675283382+09:00,23376,9360,9326,4690,11076
2023-05-20T01:21:15.833512817+09:00,24014,9623,9577,4814,11182
2023-05-20T03:19:40.625163816+09:00,24148,9686,9624,4838,11216
2023-05-20T10:18:57.726013517+09:00,24707,9900,9859,4948,11323
2023-05-20T13:19:22.049917147+09:00,25048,10025,10000,5023,11394
2023-05-20T15:19:55.539377702+09:00,25248,10112,10075,5061,11438
2023-05-21T01:20:02.991312191+09:00,27251,10956,10841,5454,11861
2023-05-21T10:26:39.483607824+09:00,27896,11224,11107,5565,12004
2023-05-21T11:38:20.136179887+09:00,27999,11266,11142,5591,12027
2023-05-21T13:19:17.068671597+09:00,28166,11331,11204,5631,12053
2023-05-21T15:20:00.139965067+09:00,28327,11384,11288,5655,12091
2023-05-21T17:19:25.965312042+09:00,28479,11450,11348,5681,12125
2023-05-21T23:13:55.608125971+09:00,29601,11835,11804,5962,12338
2023-05-22T01:19:45.519799667+09:00,30111,12030,12026,6055,12455
2023-05-22T05:16:19.568529771+09:00,30226,12083,12070,6073,12485
2023-05-22T07:15:15.270667452+09:00,30348,12124,12133,6091,12500
2023-05-22T10:25:38.858539858+09:00,30571,12223,12217,6131,12525
2023-05-22T11:38:28.213233804+09:00,30605,12237,12229,6139,12530
2023-05-22T13:19:59.322542934+09:00,30740,12277,12295,6168,12543
2023-05-22T15:21:22.387110185+09:00,30801,12306,12317,6178,12550
2023-05-22T17:21:25.190593713+09:00,30907,12354,12355,6198,12570
2023-05-23T01:21:23.088040564+09:00,32384,12934,12953,6497,12747
2023-05-23T03:20:20.869724601+09:00,32442,12962,12969,6511,12756
2023-05-23T05:17:02.338748029+09:00,32479,12980,12981,6518,12760
2023-05-23T10:21:14.581657194+09:00,32792,13109,13114,6569,12785
2023-05-23T15:20:50.443802511+09:00,33041,13214,13208,6619,12813
2023-05-23T23:16:46.594741338+09:00,34477,13796,13770,6911,12950
2023-05-24T01:21:17.409962041+09:00,35039,14004,14002,7033,13010
2023-05-24T03:19:54.932460831+09:00,35137,14039,14046,7052,13033
2023-05-24T05:16:50.747016140+09:00,35180,14062,14060,7058,13039
2023-05-24T07:15:39.569721145+09:00,35349,14126,14137,7086,13047
2023-05-24T10:24:11.794082748+09:00,35642,14250,14248,7144,13075
2023-05-24T13:19:34.718840058+09:00,36066,14418,14411,7237,13175
2023-05-24T15:20:51.665853062+09:00,36181,14473,14452,7256,13209
2023-05-24T17:20:39.041219055+09:00,36281,14510,14495,7276,13225
2023-05-24T19:18:09.401420643+09:00,36473,14587,14565,7321,13250
2023-05-24T21:31:30.619812006+09:00,36887,14746,14731,7410,13290
2023-05-24T23:15:32.431852271+09:00,37326,14916,14916,7494,13350
2023-05-25T01:21:44.786786437+09:00,37908,15167,15134,7607,13449
2023-05-25T03:20:06.800627849+09:00,38023,15209,15187,7627,13471
2023-05-25T05:16:53.257291672+09:00,38064,15226,15206,7632,13482
2023-05-25T07:14:48.727204410+09:00,38236,15298,15272,7666,13505
2023-05-25T10:21:04.039107115+09:00,38580,15439,15416,7725,13550
2023-05-25T11:34:57.381921859+09:00,38641,15463,15438,7740,13563
2023-05-25T13:19:20.449196347+09:00,38789,15515,15502,7772,13586
2023-05-25T15:20:54.743818554+09:00,38873,15559,15532,7782,13601
2023-05-25T17:20:28.459722743+09:00,39003,15631,15572,7800,13616
2023-05-25T19:17:41.218290882+09:00,39157,15689,15640,7828,13627
2023-05-25T21:33:34.860203930+09:00,39572,15838,15826,7908,13652
2023-05-25T23:15:19.422687826+09:00,40034,16018,16017,7999,13705
2023-05-26T01:21:27.947586618+09:00,40574,16238,16222,8114,13752
2023-05-26T03:20:25.535879710+09:00,40664,16274,16264,8126,13767
2023-05-26T10:21:09.689794898+09:00,41202,16500,16491,8211,13805
2023-05-26T13:19:40.448552171+09:00,41396,16570,16574,8252,13827
2023-05-26T15:20:40.370997851+09:00,41497,16610,16609,8278,13839
2023-05-26T17:20:28.882231507+09:00,41575,16642,16645,8288,13851
2023-05-26T19:17:20.751621709+09:00,41722,16708,16701,8313,13871
2023-05-26T21:30:46.814586477+09:00,42048,16854,16821,8373,13894
2023-05-26T23:14:33.907791287+09:00,42593,17059,17047,8487,13941
2023-05-27T01:20:57.859380858+09:00,43208,17314,17278,8616,13990
2023-05-27T05:17:03.837138674+09:00,43385,17395,17342,8648,14017
2023-05-27T07:14:57.644853017+09:00,43517,17446,17393,8678,14029
2023-05-27T11:33:11.622640458+09:00,44134,17710,17653,8771,14100
2023-05-27T13:18:45.676478793+09:00,44354,17797,17740,8817,14128
2023-05-27T15:19:52.593937926+09:00,44613,17925,17821,8867,14177
2023-05-27T17:19:03.921947666+09:00,44899,18050,17941,8908,14239
2023-05-27T19:16:25.643312358+09:00,45220,18199,18064,8957,14291
2023-05-27T21:29:46.807611867+09:00,45849,18437,18328,9084,14403
2023-05-28T01:20:05.756386639+09:00,48179,19407,19226,9546,14821
2023-05-28T03:19:18.054892190+09:00,48615,19595,19400,9620,14940
2023-05-28T05:16:33.063236713+09:00,48800,19679,19468,9653,14979
2023-05-28T07:14:43.836159464+09:00,49183,19850,19625,9708,15062
2023-05-28T10:37:32.366557108+09:00,50694,20490,20209,9995,15388
2023-05-28T11:43:11.111337839+09:00,51511,20836,20528,10147,15573
2023-05-28T13:18:38.057386690+09:00,52594,21252,20998,10344,15809
2023-05-28T15:19:49.221406712+09:00,53735,21725,21455,10555,16051
2023-05-28T17:18:43.522030826+09:00,54790,22146,21890,10754,16297
2023-05-28T19:16:06.128291661+09:00,56247,22746,22475,11026,16654
2023-05-28T21:29:49.952298884+09:00,59587,24120,23788,11679,17476
2023-05-28T23:14:01.506742369+09:00,62235,25156,24893,12186,18190
2023-05-29T01:19:47.292167270+09:00,63990,25846,25629,12515,18697
2023-05-29T03:18:57.892090609+09:00,63996,25851,25630,12515,18701
2023-05-29T05:16:44.455006896+09:00,63997,25851,25630,12516,18701
2023-05-29T07:14:56.125105247+09:00,64001,25853,25631,12517,18703
2023-05-29T10:24:33.420175384+09:00,64012,25856,25637,12519,18705
2023-05-29T11:38:37.284027948+09:00,64012,25856,25637,12519,18705
2023-05-29T13:19:30.416484008+09:00,64015,25857,25638,12520,18705
2023-05-29T15:22:08.705323389+09:00,64017,25857,25639,12521,18705
2023-05-29T21:31:59.329336905+09:00,64020,25859,25640,12521,18705
2023-05-29T23:14:39.136860499+09:00,64022,25859,25640,12523,18706
2023-05-30T01:20:54.399099180+09:00,64023,25859,25641,12523,18707
2023-05-30T13:19:51.184472954+09:00,64024,25859,25642,12523,18707
