datetime,tweets,tweets_pa,tweets_co,tweets_cu,users
2023-05-02T16:38:45.808015437+09:00,3700,567,2155,978,3056
2023-05-02T17:05:22.454301693+09:00,4128,635,2397,1096,3406
2023-05-02T18:07:58.430175714+09:00,4905,761,2829,1315,4090
2023-05-02T19:20:55.545052391+09:00,5862,895,3382,1585,4843
2023-05-02T21:37:21.221628673+09:00,7672,1180,4451,2041,6291
2023-05-02T23:18:01.806688997+09:00,9019,1386,5216,2417,7357
2023-05-03T01:25:05.332069427+09:00,10403,1591,6026,2786,8443
2023-05-03T03:22:48.988977495+09:00,10645,1635,6183,2827,8651
2023-05-03T05:19:18.533833367+09:00,10764,1656,6244,2864,8735
2023-05-03T07:18:01.198736914+09:00,10936,1679,6343,2914,8861
2023-05-03T10:34:54.625895337+09:00,11401,1759,6605,3037,9203
2023-05-03T11:34:33.626423290+09:00,11533,1786,6680,3067,9293
2023-05-03T13:22:43.722302210+09:00,11799,1828,6836,3135,9469
2023-05-03T15:23:32.364920637+09:00,12000,1852,6970,3178,9596
2023-05-03T17:22:49.883682676+09:00,12141,1868,7058,3215,9687
2023-05-03T19:20:20.515029090+09:00,12321,1896,7160,3265,9791
2023-05-03T21:36:32.968370649+09:00,12599,1952,7318,3329,9944
2023-05-03T23:18:05.609199889+09:00,12920,1997,7502,3421,10118
2023-05-04T01:24:58.762657279+09:00,13284,2041,7742,3501,10342
2023-05-04T03:22:57.052486093+09:00,13373,2056,7793,3524,10399
2023-05-04T05:19:33.210306305+09:00,13401,2063,7805,3533,10421
2023-05-04T10:27:10.420767684+09:00,13652,2110,7954,3588,10570
2023-05-04T11:34:33.574451318+09:00,13714,2122,7991,3601,10596
2023-05-04T13:22:21.741129855+09:00,13809,2138,8049,3622,10638
2023-05-04T15:23:59.181624219+09:00,13963,2156,8141,3666,10724
2023-05-04T17:23:34.540304317+09:00,14108,2180,8240,3688,10810
2023-05-04T19:20:26.730634546+09:00,14233,2206,8309,3718,10874
